doc_id,neighbor_doc_id,similarity,rank
Isaiah_44,Isaiah_36_39,0.6325288679685405,10
Isaiah_45,Isaiah_40_55,0.7746710759100105,1
Isaiah_45,Isaiah_56_66,0.6784241556922159,2
Isaiah_45,Jeremiah,0.6758696691356075,3
Isaiah_45,Isaiah_1_35,0.6681092252309427,4
Isaiah_45,Ezekiel,0.6648461109543304,5
Isaiah_45,Amos,0.6612337285121641,6
Isaiah_45,Psalms,0.6559790550029256,7
Isaiah_45,Hosea,0.6543287728273904,8
Isaiah_45,Job,0.6503872770042082,9
Isaiah_45,Isaiah_36_39,0.631007482243476,10
Isaiah_46,Isaiah_40_55,0.6545225147543225,1
Isaiah_46,Hosea,0.5860204369683001,2
Isaiah_46,Isaiah_56_66,0.584824774670467,3
Isaiah_46,Amos,0.582567951470795,4
Isaiah_46,Jeremiah,0.5823821239528328,5
Isaiah_46,Ezekiel,0.5789380741810093,6
Isaiah_46,Job,0.5741441477031114,7
Isaiah_46,Isaiah_1_35,0.5678016928894005,8
Isaiah_46,Psalms,0.5654064292408574,9
Isaiah_46,Isaiah_36_39,0.5466086666389902,10
Isaiah_47,Isaiah_40_55,0.6712395321490481,1
Isaiah_47,Isaiah_56_66,0.6262254864245312,2
Isaiah_47,Isaiah_1_35,0.6042075012607705,3
Isaiah_47,Ezekiel,0.5991235743514005,4
Isaiah_47,Hosea,0.5933952779729647,5
Isaiah_47,Jeremiah,0.5866862716845375,6
Isaiah_47,Psalms,0.5812323144443726,7
Isaiah_47,Isaiah_36_39,0.5650617967963443,8
Isaiah_47,Job,0.5616908857966583,9
Isaiah_47,Amos,0.5503010699044855,10
Isaiah_48,Isaiah_40_55,0.736792243346933,1
Isaiah_48,Jeremiah,0.6532785300877604,2
Isaiah_48,Isaiah_56_66,0.6454878429310617,3
Isaiah_48,Ezekiel,0.640501783499759,4
Isaiah_48,Psalms,0.6326598942537391,5
Isaiah_48,Hosea,0.6298587331271623,6
Isaiah_48,Amos,0.6252763806055615,7
Isaiah_48,Isaiah_36_39,0.6233424476933284,8
Isaiah_48,Job,0.6223972042830462,9
Isaiah_48,Isaiah_1_35,0.6219010900833744,10
Isaiah_49,Isaiah_40_55,0.7875800086088239,1
Isaiah_49,Isaiah_56_66,0.7202496914026689,2
Isaiah_49,Ezekiel,0.7120051942306779,3
Isaiah_49,Jeremiah,0.7069167393327889,4
Isaiah_49,Isaiah_1_35,0.7040209753493614,5
Isaiah_49,Psalms,0.6853627322054994,6
Isaiah_49,Amos,0.6829751483367701,7
Isaiah_49,Hosea,0.682641541009021,8
Isaiah_49,Job,0.6708416431712597,9
Isaiah_49,Isaiah_36_39,0.6495732499288951,10
Isaiah_50,Isaiah_40_55,0.6436825921610221,1
Isaiah_50,Job,0.6056132679105498,2
Isaiah_50,Psalms,0.594900700497356,3
Isaiah_50,Isaiah_56_66,0.579673512213523,4
Isaiah_50,Amos,0.5751038537434161,5
Isaiah_50,Hosea,0.5632280282418601,6
Isaiah_50,Jeremiah,0.5623923612552769,7
Isaiah_50,Isaiah_1_35,0.5563360808954873,8
Isaiah_50,Proverbs,0.5516347218255054,9
Isaiah_50,Ezekiel,0.5463824422787799,10
Isaiah_51,Isaiah_40_55,0.7683529005723169,1
Isaiah_51,Isaiah_1_35,0.7186743167867404,2
Isaiah_51,Isaiah_56_66,0.7130148354820056,3
Isaiah_51,Jeremiah,0.7034779283402062,4
Isaiah_51,Ezekiel,0.7022684003904888,5
Isaiah_51,Amos,0.6735675408836372,6
Isaiah_51,Psalms,0.6679805424572828,7
Isaiah_51,Hosea,0.6679355828967506,8
Isaiah_51,Job,0.6522694216706771,9
Isaiah_51,Isaiah_36_39,0.6505605590947059,10
Isaiah_52,Isaiah_40_55,0.6672978090671854,1
Isaiah_52,Isaiah_56_66,0.6302070043600709,2
Isaiah_52,Isaiah_1_35,0.6224289472691032,3
Isaiah_52,Jeremiah,0.6110250827580311,4
Isaiah_52,Ezekiel,0.5983219665830988,5
Isaiah_52,Hosea,0.5935031450817347,6
Isaiah_52,Amos,0.5894872480147588,7
Isaiah_52,Psalms,0.584131189823351,8
Isaiah_52,Isaiah_36_39,0.5636566413109606,9
Isaiah_52,Job,0.5521231207013471,10
Isaiah_53,Isaiah_40_55,0.623248125033655,1
Isaiah_53,Isaiah_1_35,0.5892549886318128,2
Isaiah_53,Isaiah_56_66,0.5873453545281156,3
Isaiah_53,Job,0.5775740751479315,4
Isaiah_53,Hosea,0.5765403797472524,5
Isaiah_53,1 Kings,0.5735807564104387,6
Isaiah_53,2 Kings,0.5674579827029467,7
Isaiah_53,Ezekiel,0.5651153876766661,8
Isaiah_53,Jeremiah,0.561224888629484,9
Isaiah_53,1 Samuel,0.5589021103942147,10
Isaiah_54,Isaiah_40_55,0.7108502243252033,1
