feature_class,feature_variant,doc_id,neighbor_doc_id,similarity,rank
char,char4,Isaiah_38,Prophetic,0.6387439822140291,1
char,char4,Isaiah_38,Poetic/Wisdom,0.6157183774719472,2
char,char4,Isaiah_38,Narrative,0.5963255321880312,3
char,char4,Isaiah_39,Prophetic,0.5084600095360089,1
char,char4,Isaiah_39,Narrative,0.49522715939630735,2
char,char4,Isaiah_39,Poetic/Wisdom,0.44467090327647535,3
char,char4,Isaiah_40,Prophetic,0.7383964794134168,1
char,char4,Isaiah_40,Poetic/Wisdom,0.7256973644569743,2
char,char4,Isaiah_40,Narrative,0.6446162090259473,3
char,char4,Isaiah_41,Prophetic,0.7734474515445368,1
char,char4,Isaiah_41,Poetic/Wisdom,0.7371247378623422,2
char,char4,Isaiah_41,Narrative,0.6960042901407433,3
char,char4,Isaiah_42,Prophetic,0.7093608665836415,1
char,char4,Isaiah_42,Poetic/Wisdom,0.6963517890167642,2
char,char4,Isaiah_42,Narrative,0.625649323439476,3
char,char4,Isaiah_43,Prophetic,0.701961436900105,1
char,char4,Isaiah_43,Poetic/Wisdom,0.6920926182077329,2
char,char4,Isaiah_43,Narrative,0.6072582871727173,3
char,char4,Isaiah_44,Prophetic,0.7144627825015362,1
char,char4,Isaiah_44,Poetic/Wisdom,0.7081387029686933,2
char,char4,Isaiah_44,Narrative,0.637021072465622,3
char,char4,Isaiah_45,Prophetic,0.7246271985106051,1
char,char4,Isaiah_45,Poetic/Wisdom,0.7032095186786441,2
char,char4,Isaiah_45,Narrative,0.626108849012247,3
char,char4,Isaiah_46,Prophetic,0.5337960074844562,1
char,char4,Isaiah_46,Poetic/Wisdom,0.5251652484871362,2
char,char4,Isaiah_46,Narrative,0.4713684574446814,3
char,char4,Isaiah_47,Prophetic,0.5980704505806947,1
char,char4,Isaiah_47,Poetic/Wisdom,0.5846813282612666,2
char,char4,Isaiah_47,Narrative,0.49382569492302053,3
char,char4,Isaiah_48,Prophetic,0.6823322774343669,1
char,char4,Isaiah_48,Poetic/Wisdom,0.6710089771330189,2
char,char4,Isaiah_48,Narrative,0.6180028082883873,3
char,char4,Isaiah_49,Prophetic,0.8010797853171581,1
char,char4,Isaiah_49,Poetic/Wisdom,0.7623900948273589,2
char,char4,Isaiah_49,Narrative,0.6931132554089926,3
char,char4,Isaiah_50,Poetic/Wisdom,0.5532997363833506,1
char,char4,Isaiah_50,Prophetic,0.5448053857017763,2
char,char4,Isaiah_50,Narrative,0.47077183706116293,3
char,char4,Isaiah_51,Prophetic,0.7615983891977055,1
char,char4,Isaiah_51,Poetic/Wisdom,0.7454511687410571,2
char,char4,Isaiah_51,Narrative,0.6680426555953185,3
char,char4,Isaiah_52,Prophetic,0.6368109816271352,1
char,char4,Isaiah_52,Poetic/Wisdom,0.5962581718537202,2
char,char4,Isaiah_52,Narrative,0.5336983190394781,3
char,char4,Isaiah_53,Poetic/Wisdom,0.5222224900569233,1
char,char4,Isaiah_53,Prophetic,0.4947635739731304,2
char,char4,Isaiah_53,Narrative,0.47681237187846315,3
char,char4,Isaiah_54,Prophetic,0.6721969968888039,1
char,char4,Isaiah_54,Poetic/Wisdom,0.6645537701347664,2
char,char4,Isaiah_54,Narrative,0.5628475265757806,3
