corpus_id,doc_id,feature_set,neighbor_section,top5_count,similarity_sum,weighted_similarity_sum
KJV,1 Kings_3,char4,Psalms,4,2.8395798908377463,8.626879553230806
KJV,1 Kings_3,function_words,1 Kings,5,3.257010831829111,9.355519875485586
KJV,1 Kings_3,pos3,2 Kings,4,2.9581087016100054,7.695608766252949
KJV,1 Kings_3,word3,Psalms,5,4.04793586157777,12.191649134510316
KJV,1 Kings_4,char3,1 Kings,7,5.037642935664925,15.150559975601801
KJV,1 Kings_4,char4,Psalms,5,3.3717086873769793,10.231155802423029
KJV,1 Kings_4,function_words,2 Kings,6,4.039284165885795,8.246179702317942
KJV,1 Kings_4,pos3,2 Kings,5,4.018812527157511,9.365105684199987
KJV,1 Kings_4,word3,Psalms,5,4.159243326437484,12.526370881125022
KJV,1 Kings_5,char3,1 Kings,8,5.723475328457227,17.90624729068886
KJV,1 Kings_5,char4,Psalms,5,3.5393523344866566,10.733530345460286
KJV,1 Kings_5,function_words,1 Kings,4,2.894069772280809,10.135667000084158
KJV,1 Kings_5,pos3,2 Kings,3,2.496139970915129,9.770098815302486
KJV,1 Kings_5,word3,Psalms,9,4.860336703161595,14.29025183317241
KJV,1 Kings_6,char3,Ezekiel,5,3.5648593217978437,14.36594154676707
KJV,1 Kings_6,char4,Ezekiel,5,3.325242444365168,10.44562847861163
KJV,1 Kings_6,function_words,Jeremiah,2,1.5005671524832438,6.530632182449308
KJV,1 Kings_6,pos3,2 Kings,6,4.687141472232071,13.231035286645303
KJV,1 Kings_6,word3,Psalms,6,4.401788081181603,12.945512896918304
KJV,1 Kings_7,char3,Ezekiel,5,3.4572635171000385,13.097410727213003
KJV,1 Kings_7,char4,Ezekiel,4,2.7631796234826815,9.71801381081621
KJV,1 Kings_7,function_words,Ezekiel,4,3.0466687248976254,8.621626490608872
KJV,1 Kings_7,pos3,2 Kings,8,6.263562277396303,15.723828866373493
KJV,1 Kings_7,word3,Psalms,6,4.410115466866781,13.279107794324318
KJV,1 Kings_8,char3,Jeremiah,7,5.473935723406365,14.680915851671282
KJV,1 Kings_8,char4,Psalms,3,2.236329363374992,7.537606417995011
KJV,1 Kings_8,function_words,2 Kings,2,1.5298275542412463,6.119310216964985
KJV,1 Kings_8,pos3,2 Kings,8,6.2212179997454395,16.618333846495517
KJV,1 Kings_8,word3,Psalms,6,4.467617933379728,13.450325198614799
